Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.45551002226673E-17,1.34529368211767E-18,0.00531609098066728,0,0,0,3.32238920691748,0.00811436673472104,-4.30296161001022E-19,-1.84347865210351E-19,0.0180496934141333,1.03429844178161E-19,0.0187962771271448,0,0,0,0,0,0,package://mercury_3/meshes/base_link.STL,0.0392156862745098,0.490196078431373,0.709803921568627,1,0,0,0,0,0,0,package://mercury_3/meshes/base_link.STL,blue,spine-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Front_module,-0.0497172643592256,6.86395702539619E-17,4.85722573273506E-17,0,0,0,0.376403583442598,0.00122457497789135,2.18535755074101E-19,-1.53202230184357E-20,0.000273263744958828,1.62050311598109E-19,0.00143195312999982,0,0,0,0,0,0,package://mercury_3/meshes/Front_module.STL,1,0.168627450980392,0.168627450980392,1,0,0,0,0,0,0,package://mercury_3/meshes/Front_module.STL,,abduction 2-1,Origin_FM_joint,Axis_FM_joint,FM_joint,revolute,-0.115,0,0.042,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,0
FLA,-0.0278699932792812,-0.0349280778773409,1.06796636395456E-08,0,0,0,0.295029754126894,0.000309535633973418,-5.80478947344437E-11,1.43627711665173E-11,0.000169221307104425,-1.00079234323134E-11,0.000390392374765467,0,0,0,0,0,0,package://mercury_3/meshes/FLA.STL,0,0,1,1,0,0,0,0,0,0,package://mercury_3/meshes/FLA.STL,,leg base-1,Origin_FLA_joint,Axis_FLA_joint,FLA_joint,revolute,0,-0.11275,0,1.5707963267949,0,0,Front_module,1,0,0,0,0,0,0,,,,,,,,0
FLH,2.12419992786303E-05,-0.0411680002134707,0.00875381508802056,0,0,0,0.0880994484880993,0.000181237968458974,8.77373051205217E-08,1.54511395588275E-08,2.6110291682208E-05,-2.67712058288425E-06,0.000202371902016721,0,0,0,0,0,0,package://mercury_3/meshes/FLH.STL,0,0.937254901960784,0.125490196078431,1,0,0,0,0,0,0,package://mercury_3/meshes/FLH.STL,,hip 5 (1)-1,Origin_FLH_joint,Axis_FRH_joint,FLH_joint,revolute,-0.0278699999999998,-0.0830127664691537,0.021,0,0,1.5707963267949,FLA,0,0,-1,0,0,0,0,,,,,,,,0
FLK,3.6644108067363E-08,0.100111301705053,0.00305521968276382,0,0,0,0.0167134646126867,0.00010038228684169,3.71456275042034E-13,-2.21427736998955E-12,2.07821056706645E-06,3.82445657532547E-07,0.000102234595439406,0,0,0,0,0,0,package://mercury_3/meshes/FLK.STL,1,1,0,1,0,0,0,0,0,0,package://mercury_3/meshes/FLK.STL,,kneeeee-1,Origin_FLK_joint,Axis_FLK,FLK_joint,revolute,0,-0.15,0.02,0,0,3.14159265358979,FLH,0,0,1,0,0,0,0,,,,,,,,0
FRA,-0.0278699932792812,-0.0349280778773409,1.06796637089346E-08,0,0,0,0.295029754126894,0.000309535633973418,-5.80478947169105E-11,1.43627711554638E-11,0.000169221307104425,-1.00079234263126E-11,0.000390392374765467,0,0,0,0,0,0,package://mercury_3/meshes/FRA.STL,0,0,1,1,0,0,0,0,0,0,package://mercury_3/meshes/FRA.STL,,leg base-3,Origin_FRA_joint,Axis_FRA_joint,FRA_joint,revolute,0,0.11275,0,1.5707963267949,0,0,Front_module,1,0,0,0,0,0,0,,,,,,,,0
FRH,-2.12419992784707E-05,-0.0411680002134707,-0.00875381508802756,0,0,0,0.0880994484880992,0.000181237968458974,-8.77373051204196E-08,1.54511395588163E-08,2.6110291682208E-05,2.67712058288413E-06,0.000202371902016721,0,0,0,0,0,0,package://mercury_3/meshes/FRH.STL,0,0.937254901960784,0.125490196078431,1,0,0,0,0,0,0,package://mercury_3/meshes/FRH.STL,,hip 5 (1)-6,Origin_FRH_joint,Axis_FRH_joint,FRH_joint,revolute,-0.0278699999999998,-0.0830127664691537,-0.021,0,0,1.5707963267949,FRA,0,0,-1,0,0,0,0,,,,,,,,0
FRK,-3.66441086710467E-08,0.100111301705053,-0.00305521968276384,0,0,0,0.0167134646126866,0.00010038228684169,-3.7145593913377E-13,-2.21427736900092E-12,2.07821056706645E-06,-3.82445657532456E-07,0.000102234595439406,0,0,0,0,0,0,package://mercury_3/meshes/FRK.STL,1,1,0,1,0,0,0,0,0,0,package://mercury_3/meshes/FRK.STL,,kneeeee-6,Origin_FRK_joint,Axis_FRK,FRK_joint,revolute,0,-0.15,-0.0200000000000002,0,0,3.14159265358979,FRH,0,0,-1,0,0,0,0,,,,,,,,0
Back_module,0.0497172643592256,7.87660632798329E-17,0,0,0,0,0.376403583442599,0.00122457497789136,-4.00655797350407E-19,-1.36787983258632E-20,0.000273263744958829,2.59747855753548E-20,0.00143195312999983,0,0,0,0,0,0,package://mercury_3/meshes/Back_module.STL,1,0.168627450980392,0.168627450980392,1,0,0,0,0,0,0,package://mercury_3/meshes/Back_module.STL,,abduction 2-2,Origin_BM_joint,Axis_BM_joint,BM_joint,revolute,0.115,0,0.042,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,0
BLA,0.0278700067207168,-0.0349280778773408,1.06796638615902E-08,0,0,0,0.295029754126894,0.000309535633973418,-5.80478947641281E-11,1.43627711663126E-11,0.000169221307104425,-1.00079234311191E-11,0.000390392374765467,0,0,0,0,0,0,package://mercury_3/meshes/BLA.STL,0,0,1,1,0,0,0,0,0,0,package://mercury_3/meshes/BLA.STL,,leg base-7,Origin_BLA_joint,Axis_BLA_joint,BLA_joint,revolute,0,-0.11275,0,1.5707963267949,0,0,Back_module,1,0,0,0,0,0,0,,,,,,,,0
BLH,2.12440008776765E-05,-0.041168005929885,0.00875381452700574,0,0,0,0.088099458135948,0.000181238000146866,8.77467255772021E-08,1.54521079081354E-08,2.61102953867185E-05,-2.67712322281538E-06,0.000202371936879135,0,0,0,0,0,0,package://mercury_3/meshes/BLH.STL,0,0.937254901960784,0.125490196078431,1,0,0,0,0,0,0,package://mercury_3/meshes/BLH.STL,,hip 5 (1)-2,Origin_BLH_joint,Axis_BLH_joint,BLH_joint,revolute,0.02787,-0.083013,0.021,0,0,1.5708,BLA,0,0,1,0,0,0,0,,,,,,,,0
BLK,3.6644E-08,0.10011,0.0030552,0,0,0,0.016713,0.00010038,3.7146E-13,-2.2143E-12,2.0782E-06,3.8245E-07,0.00010223,0,0,0,0,0,0,package://mercury_3/meshes/BLK.STL,1,1,0,1,0,0,0,0,0,0,package://mercury_3/meshes/BLK.STL,,kneeeee-2,Origin_BLK_joint,Axis_BLK,BLK_joint,revolute,0,-0.149999999999998,0.02,0,0,3.14159265358978,BLH,0,0,1,0,0,0,0,,,,,,,,0
BRA,0.0278700067207183,-0.0349280778773409,1.0679663681179E-08,0,0,0,0.295029754126894,0.000309535633973418,-5.80478947917704E-11,1.43627711660787E-11,0.000169221307104425,-1.00079234338835E-11,0.000390392374765467,0,0,0,0,0,0,package://mercury_3/meshes/BRA.STL,0,0,1,1,0,0,0,0,0,0,package://mercury_3/meshes/BRA.STL,,leg base-6,Origin_BRA_joint,Axis_BRA_joint,BRA_joint,revolute,0,0.11275,0,1.5707963267949,0,0,Back_module,1,0,0,0,0,0,0,,,,,,,,0
BRH,-2.12423345357649E-05,-0.0411680011324299,-0.00875381500475839,0,0,0,0.0880994500613957,0.00018123797352175,-8.77388606656854E-08,1.54512891336484E-08,2.61102923072211E-05,2.67712096593016E-06,0.000202371907637502,0,0,0,0,0,0,package://mercury_3/meshes/BRH.STL,0,0.937254901960784,0.125490196078431,1,0,0,0,0,0,0,package://mercury_3/meshes/BRH.STL,,hip 5 (1)-4,Origin_BRH_joint,Axis_BRH_joint,BRH_joint,revolute,0.0278699999999998,-0.0830127664691537,-0.0209999999999999,0,0,1.5707963267949,BRA,0,0,-1,0,0,0,0,,,,,,,,0
BRK,-3.66441077551127E-08,0.100111301705049,-0.00305521968276057,0,0,0,0.0167134646126867,0.000100382286841691,-3.71456575225655E-13,-2.21427737293597E-12,2.07821056706646E-06,-3.82445657532474E-07,0.000102234595439407,0,0,0,0,0,0,package://mercury_3/meshes/BRK.STL,1,1,0,1,0,0,0,0,0,0,package://mercury_3/meshes/BRK.STL,,kneeeee-4,Origin_BRK_joint,Axis_BRK,BRK_joint,revolute,0,-0.149999999999997,-0.02,0,0,-3.14159265358979,BRH,0,0,-1,0,0,0,0,,,,,,,,0
